Data,FTSE EMU Government Bond
10/2001,10000
11/2001,9896.5609
12/2001,9797.542245433577
01/2002,9822.296911621734
02/2002,9834.674282628976
03/2002,9734.771497637688
04/2002,9842.63111092036
05/2002,9856.77664507404
06/2002,10027.40700987362
07/2002,10175.05085150921
08/2002,10315.622028037047
09/2002,10515.427477378722
10/2002,10453.540821737555
11/2002,10511.891127644189
12/2002,10731.146681119832
01/2003,10848.731289271798
02/2003,10966.315914274448
03/2003,10932.72027648159
04/2003,10941.561239387573
05/2003,11189.10782573881
06/2003,11182.919130200395
07/2003,11004.33193754198
08/2003,11029.086622408757
09/2003,11197.948776631541
10/2003,11050.304941806533
11/2003,11020.24568129773
12/2003,11158.164496809
01/2004,11228.892084615054
02/2004,11380.07238548519
03/2004,11488.81603277338
04/2004,11370.347268040872
05/2004,11337.635802281973
06/2004,11375.651915514245
07/2004,11475.554710740596
08/2004,11633.807774201328
09/2004,11683.31707191753
10/2004,11792.060713896111
11/2004,11926.443155712279
12/2004,12010.432150025594
01/2005,12164.264647506836
02/2005,12092.652891671085
03/2005,12162.540565160563
04/2005,12342.648452491092
05/2005,12481.53089511415
06/2005,12619.918246314712
07/2005,12560.179970308043
08/2005,12687.728346702923
09/2005,12681.999456722537
10/2005,12540.022570504609
11/2005,12528.927158534227
12/2005,12666.731074301142
01/2006,12566.050322360925
02/2006,12584.572052233569
03/2006,12405.657694749847
04/2006,12307.187166514886
05/2006,12334.12550700057
06/2006,12305.180274625764
07/2006,12440.924255566282
08/2006,12589.06319263777
09/2006,12663.00001967445
10/2006,12701.864792814835
11/2006,12766.35063614418
12/2006,12613.402223376297
01/2007,12561.965525913502
02/2007,12691.17601901822
03/2007,12631.207801004914
04/2007,12615.948291484676
05/2007,12474.033381546007
06/2007,12396.604312059406
07/2007,12581.01768539812
08/2007,12697.497150485726
09/2007,12697.576763792858
10/2007,12790.778120021008
11/2007,12880.637557270937
12/2007,12839.633206864744
01/2008,13145.883752925887
02/2008,13212.022928887096
03/2008,13131.101666611788
04/2008,13054.176521584375
05/2008,12880.045163920015
06/2008,12745.556626735524
07/2008,12997.108157998993
08/2008,13158.429044282566
09/2008,13233.09970791732
10/2008,13339.756903591167
11/2008,13861.726650700957
12/2008,14039.942573113758
01/2009,13870.921320453068
02/2009,13973.953691766115
03/2009,14151.276596356392
04/2009,14241.710612470939
05/2009,14062.150840234694
06/2009,14237.944319075621
07/2009,14491.626613909659
08/2009,14558.71168657957
09/2009,14642.709629526456
10/2009,14661.03688418006
11/2009,14757.28835064913
12/2009,14650.047578923613
01/2010,14704.94995072991
02/2010,14877.905454664406
03/2010,14969.090946963608
04/2010,14875.642055690812
05/2010,15098.54016381749
06/2010,14977.781586631074
07/2010,15116.60225659987
08/2010,15513.89694827385
09/2010,15327.98057919131
10/2010,15252.319674414948
11/2010,14842.276312287975
12/2010,14794.393793099665
01/2011,14716.310462099067
02/2011,14713.826201729958
03/2011,14617.680911488686
04/2011,14671.336571042395
05/2011,14849.782277195594
06/2011,14793.270985246256
07/2011,14815.028632345935
08/2011,15242.674211737498
09/2011,15364.27264526163
10/2011,15089.248323843289
11/2011,14709.034424031031
12/2011,15298.18655868291
01/2012,15555.13994852411
02/2012,15809.794700135395
03/2012,15834.726113985724
04/2012,15800.051864130362
05/2012,15979.593857482183
06/2012,15861.62019133898
07/2012,16112.667764290569
08/2012,16229.156068285964
09/2012,16433.32891370176
10/2012,16557.90669353075
11/2012,16798.035748404873
12/2012,16927.51148036607
01/2013,16840.074451115615
02/2013,16878.99236837438
03/2013,16991.652553256485
04/2013,17424.319837879382
05/2013,17201.068126308575
06/2013,16947.783774234133
07/2013,17067.870346767548
08/2013,16976.348841715408
09/2013,17107.6811018612
10/2013,17349.56061727203
11/2013,17404.48949968192
12/2013,17302.756603613485
01/2014,17685.543238596867
02/2014,17800.502099334662
03/2014,17966.296509902928
04/2014,18138.03202632993
05/2014,18315.867812374643
06/2014,18514.32060643908
07/2014,18687.594466705887
08/2014,19041.16169838057
09/2014,19056.341693309754
10/2014,19106.16049683516
11/2014,19371.327064844932
12/2014,19584.057942126023
01/2015,20032.895369913218
02/2015,20178.64730445342
03/2015,20428.54552447949
04/2015,20137.63404765087
05/2015,19831.7371438005
06/2015,19322.46309188199
07/2015,19771.14131223019
08/2015,19611.80963862319
09/2015,19814.506124316504
10/2015,20024.522848758992
11/2015,20108.582591754428
12/2015,19907.6101782427
01/2016,20297.20429926803
02/2016,20492.881121091465
03/2016,20590.847749148466
04/2016,20355.528128366008
05/2016,20566.78268460894
06/2016,21043.875689907312
07/2016,21213.64841966818
08/2016,21143.0269112602
09/2016,21185.00364259901
10/2016,20732.497261044005
11/2016,20413.46269064144
12/2016,20544.87456084707
01/2017,20120.685768481737
02/2017,20358.295172065747
03/2017,20235.00818666504
04/2017,20339.083916021922
05/2017,20455.872969776112
06/2017,20343.67250653689
07/2017,20389.03543780214
08/2017,20560.523333172052
09/2017,20461.77874699646
10/2017,20689.49501802276
11/2017,20752.362945164325
12/2017,20576.472142549996
01/2018,20498.68052620315
02/2018,20542.920573527994
03/2018,20869.195769258316
04/2018,20788.866895671115
05/2018,20533.381076513422
06/2018,20688.053492149906
07/2018,20611.314054048264
08/2018,20493.43774286002
09/2018,20457.33137957276
10/2018,20450.479605573797
11/2018,20563.961975467475
12/2018,20756.721151999194
01/2019,20981.502327504964
02/2019,20895.939551198375
03/2019,21279.15060454659
04/2019,21265.12892104723
05/2019,21499.20185052761
06/2019,21993.84409212757
07/2019,22369.75253824349
08/2019,22927.050630623802
09/2019,22837.83666193941
10/2019,22581.767418367417
11/2019,22381.71441171973
12/2019,22150.939016409073
01/2020,22715.583951179167
02/2020,22824.265753970227
03/2020,22210.279538871633
04/2020,22357.074605736285
05/2020,22371.1935454913
06/2020,22610.915873030914
07/2020,22855.907407606792
08/2020,22664.615804795125
09/2020,22988.115118854024
10/2020,23210.08491022441
11/2020,23231.44468716559
12/2020,23265.093343964927
01/2021,23127.82882793367
02/2021,22674.456080924283
03/2021,22718.55472357783
04/2021,22464.103275704998
05/2021,22460.52272228388
06/2021,22564.05023427293
07/2021,22984.499269437274
08/2021,22844.962442977456
09/2021,22569.929427180577
10/2021,22421.180501696388
11/2021,22820.420113334578
12/2021,22440.966503569874
01/2022,22209.271827578123
02/2022,21783.942506993608
03/2022,21266.24297436583
04/2022,20453.547544552406
05/2022,20076.75515518332
06/2022,19697.823266103565
07/2022,20517.29092775061
08/2022,19448.039902448534
09/2022,18703.68484530062
10/2022,18737.156772662922
11/2022,19188.3988475582
12/2022,18285.852743712487
01/2023,18750.06453294694
02/2023,18312.808715523774
03/2023,18754.926981834917
04/2023,18738.076055040277
05/2023,18815.460936293905
06/2023,18762.58328196081
07/2023,18730.384625164806
08/2023,18793.579819067036
09/2023,18288.5758443267
10/2023,18361.221908181295
11/2023,18916.858005221315
12/2023,19594.676078655342
01/2024,19510.97879141269
02/2024,19279.64648115273
03/2024,19479.7790442468
04/2024,19201.351056007155
05/2024,19176.958811706667
06/2024,19214.7362699482
07/2024,19651.72683312541
08/2024,19728.156918676606
09/2024,19985.826376191442
10/2024,19785.69370703338
11/2024,20243.106892716187
12/2024,19959.047114692698
01/2025,19918.201922724835
02/2025,20058.251381629958
03/2025,19697.425703933466
04/2025,20084.270341432013
05/2025,20107.415856258885
06/2025,20061.345745049024
07/2025,20015.61149392712