Data,FTSE World Government Bond - Developed Markets
06/1994,18298.8120140506
07/1994,18394.008761889727
08/1994,18256.107668626908
09/1994,18058.461933141258
10/1994,17882.18810435332
11/1994,18353.258081067215
12/1994,18232.979437186725
01/1995,18319.48336424991
02/1995,18451.247187907014
03/1995,18615.74969412322
04/1995,19048.70347712831
05/1995,19884.822591467022
06/1995,19649.5737459052
07/1995,19486.38354974938
08/1995,19807.2976279749
09/1995,19875.873228874767
10/1995,20036.192130086434
11/1995,20658.523108497455
12/1995,20783.587243951533
01/1996,21302.30492954967
02/1996,20791.04669061057
03/1996,20778.35773769586
04/1996,21208.361289813318
05/1996,21079.350357185143
06/1996,21057.386430911316
07/1996,20930.013419110393
08/1996,21035.718514425545
09/1996,21564.0466511426
10/1996,21647.442475431188
11/1996,22138.779255634054
12/1996,22041.974187946482
01/1997,22735.584323321626
02/1997,23177.517069897778
03/1997,22695.899277736116
04/1997,23240.55728776098
05/1997,23585.536961755537
06/1997,24161.374669455738
07/1997,25167.136993329914
08/1997,24730.779097762166
09/1997,24850.199313257293
10/1997,24603.692228756365
11/1997,24679.19445869677
12/1997,25114.249911197065
01/1998,25851.639894225835
02/1998,25846.00584125982
03/1998,25911.23653155465
04/1998,25692.56423412401
05/1998,25671.379800292063
06/1998,25880.283774716816
07/1998,25666.367367880965
08/1998,26148.54757863993
09/1998,26140.821723171648
10/1998,26672.632908394837
11/1998,26919.001854994673
12/1998,27145.31120495718
01/1999,27810.218257883727
02/1999,27845.660496507084
03/1999,28386.51971425189
04/1999,28954.50329557564
05/1999,28878.813592769468
06/1999,28691.991948533767
07/1999,28323.89391009196
08/1999,28832.537395903226
09/1999,29042.911552275335
10/1999,29412.538974622094
11/1999,30381.971030508746
12/1999,30443.7384062833
01/2000,30525.624580652802
02/2000,30797.62797489837
03/2000,31946.974779966058
04/2000,32450.191419662944
05/2000,32135.24687216324
06/2000,31843.40095512492
07/2000,32385.503413979557
08/2000,33497.562852744995
09/2000,33681.56253700122
10/2000,34623.02166791649
11/2000,34381.576350791336
12/2000,33019.23076923077
01/2001,33292.724079409556
02/2001,33656.539842917475
03/2001,34002.002999565855
04/2001,33781.88025417374
05/2001,35229.39771875123
06/2001,34948.22788806883
07/2001,34666.85085053479
08/2001,34647.847022141534
09/2001,34813.16848877136
10/2001,35477.97687176856
11/2001,35186.56510241938
12/2001,34473.09271026562
01/2002,34994.997434581834
02/2002,35009.570983147176
03/2002,34617.08173816947
04/2002,34713.99534277933
05/2002,34427.35919801082
06/2002,34141.80842246517
07/2002,34730.66069384694
08/2002,35325.95611161542
09/2002,35437.147255002565
10/2002,35220.5667600742
11/2002,35105.2413466472
12/2002,34952.08588230651
01/2003,34635.27647314205
02/2003,34980.85803370565
03/2003,34657.08252752891
04/2003,34293.296364999806
05/2003,33951.45439475866
06/2003,34216.32395311205
07/2003,33867.66389075266
08/2003,34534.83048506137
09/2003,34411.07865966768
10/2003,34305.61037218297
11/2003,33829.92264277539
12/2003,33426.20475983739
01/2004,34033.60697793741
02/2004,34081.96511031298
03/2004,34952.84564076252
04/2004,34298.34826538264
05/2004,33926.382365710226
06/2004,34121.43308205391
07/2004,34303.054821012745
08/2004,34789.39890279039
09/2004,34514.29727276315
10/2004,34693.25492362947
11/2004,34394.452776571816
12/2004,34197.99108023839
01/2005,35162.598176579704
02/2005,34566.41472944705
03/2005,34841.45715751668
04/2005,35611.12207443659
05/2005,36474.36555235426
06/2005,36869.854363184284
07/2005,36388.70031969057
08/2005,36582.00457828472
09/2005,36595.51249161306
10/2005,36169.9885542882
11/2005,36295.17109365749
12/2005,36682.08548762679
01/2006,36086.29672021155
02/2006,36559.56703635001
03/2006,35604.13624343845
04/2006,35014.15913486206
05/2006,34970.97130678455
06/2006,34770.70095117812
07/2006,35110.40178395232
08/2006,35328.15645103998
09/2006,35599.23234794963
10/2006,35659.707147649686
11/2006,35272.26980305482
12/2006,34794.115325413426
01/2007,34833.57343016142
02/2007,35062.300193393065
03/2007,34863.707226585626
04/2007,34369.15380668588
05/2007,34148.537711647
06/2007,33817.97371433082
07/2007,34364.10190630303
08/2007,35078.0775150965
09/2007,34438.88384575917
10/2007,34390.14090065911
11/2007,34846.55839286419
12/2007,34802.90681611872
01/2008,35643.24900343371
02/2008,35609.10920787781
03/2008,35213.472392153766
04/2008,34659.707147649686
05/2008,34206.59509807791
06/2008,33894.00876188972
07/2008,34281.13036271065
08/2008,35623.52488455618
09/2008,36905.49394166634
10/2008,40093.99297470103
11/2008,41571.407427872284
12/2008,40656.89505466314
01/2009,42211.696333425425
02/2009,41347.03200852508
03/2009,40553.054821012745
04/2009,40628.98133164937
05/2009,39300.10459012511
06/2009,39703.072581600034
07/2009,39957.97647708884
08/2009,40258.79149070529
09/2009,40438.439831077085
10/2009,40095.34475273316
11/2009,40649.53427793346
12/2009,40386.40131033667
01/2010,41740.23167699412
02/2010,42617.101472155344
03/2010,42226.33895094131
04/2010,42816.888345107945
05/2010,45946.65903619213
06/2010,46827.0414808383
07/2010,45615.42408335636
08/2010,47679.65820736472
09/2010,45427.66507479181
10/2010,45241.18877530884
11/2010,45997.464182815645
12/2010,45408.77965031377
01/2011,44416.49563878912
02/2011,44257.92319532699
03/2011,43192.94904684848
04/2011,42632.16837036745
05/2011,43945.70193787741
06/2011,43665.27213166515
07/2011,45077.01187985949
08/2011,45945.43552906816
09/2011,48416.60417571141
10/2011,46788.00765678652
11/2011,47767.58298141059
12/2011,49981.33164936654
01/2012,50246.61562142322
02/2012,48679.44113352015
03/2012,48401.02419386668
04/2012,49431.19745826262
05/2012,52653.44160713581
06/2012,51279.531909855155
07/2012,53335.90204049415
08/2012,52504.4006788491
09/2012,52069.651103129814
10/2012,51376.16923866283
11/2012,51092.84840352054
12/2012,49896.45577613766
01/2013,47838.368788727945
02/2013,49056.389864624856
03/2013,49774.539211429925
04/2013,48951.95761139835
05/2013,48143.60421517938
06/2013,47746.10253779058
07/2013,47369.499151438606
08/2013,47520.10893160201
09/2013,47184.09835418558
10/2013,47422.14942574101
11/2013,46828.13671705411
12/2013,45829.8437068319
01/2014,47502.90089592296
02/2014,47013.754588151714
03/2014,47048.12132454513
04/2014,47287.49457315388
05/2014,48199.63886805857
06/2014,48422.72171133126
07/2014,49086.16844930339
08/2014,50074.288589809374
09/2014,50499.06263567115
10/2014,50768.97422741445
11/2014,50722.382286774286
12/2014,51969.540592808946
01/2015,55548.89094999408
02/2015,55251.026167265256
03/2015,57085.122548052255
04/2015,55306.47866756128
05/2015,55201.02024706949
06/2015,54179.91474918105
07/2015,54914.90705292655
08/2015,54461.094446856376
09/2015,55109.79003039034
10/2015,55641.403875754826
11/2015,56985.20937759009
12/2015,55962.57449579666
01/2016,56971.4054544737
02/2016,58414.729447053716
03/2016,57121.847495757196
04/2016,57552.09772269803
05/2016,58382.997197774006
06/2016,60668.06449066583
07/2016,60577.682835379084
08/2016,60295.79271421241
09/2016,60142.51884595652
10/2016,59501.213640131034
11/2016,58689.979081974976
12/2016,58612.434384496984
01/2017,57771.26336977542
02/2017,58963.21585033746
03/2017,58628.58665193196
04/2017,58331.86644038362
05/2017,57441.93274657615
06/2017,56527.3019694518
07/2017,55700.77357224612
08/2017,55883.77669021589
09/2017,55526.07846232783
10/2017,56083.83983897068
11/2017,55551.2195603268
12/2017,55227.71046295931
01/2018,54067.25342384654
02/2018,54837.75703516595
03/2018,55202.520029995656
04/2018,55149.15933220192
05/2018,56433.299127757826
06/2018,56273.789319966854
07/2018,55870.870663456604
08/2018,56118.52231913802
09/2018,55611.17140940127
10/2018,56443.30425859415
11/2018,56732.50582152584
12/2018,57537.66231203378
01/2019,58082.71500177606
02/2019,58000.078935943486
03/2019,59578.324189919884
04/2019,59380.0272329005
05/2019,60775.37790582941
06/2019,60828.56099775033
07/2019,61919.011721987605
08/2019,64335.51722776966
09/2019,64113.41121679757
10/2019,62957.9370091171
11/2019,62960.01894462645
12/2019,61961.78513636183
01/2020,63812.418597308286
02/2020,65072.61120101038
03/2020,64902.5437107787
04/2020,65781.19943166121
05/2020,64849.21261396377
06/2020,64648.02462801437
07/2020,63616.736393416744
08/2020,62601.412953388324
09/2020,63721.0995776927
10/2020,64020.99696096618
11/2020,63287.1886963729
12/2020,62703.8718080278
01/2021,62333.9582428859
02/2021,60893.38714133481
03/2021,61584.0792209105
04/2021,60806.55727990244
05/2021,60462.197943085404
06/2021,61613.680310035175
07/2021,62637.87799374884
08/2021,62552.0348352873
09/2021,62285.62503316524
10/2021,62126.76585486283
11/2021,63858.429568656175
12/2021,62782.92333045974
01/2022,62328.0532609106
02/2022,61534.74407236937
03/2022,59950.099101228574
04/2022,59503.12265544601
05/2022,58525.300011360996
06/2022,58055.629397249526
07/2022,60601.32306197136
08/2022,58703.89324907987
09/2022,57148.84936706372
10/2022,56372.31412902648
11/2022,56591.36218854905
12/2022,54427.52257353549
01/2023,55174.456722448056
02/2023,54592.30196966283
03/2023,55352.063257196096
04/2023,54696.89248457002
05/2023,55379.69094037912
06/2023,54121.64465258054
07/2023,53653.94744441071
08/2023,53758.5379593179
09/2023,53242.49230557777
10/2023,52707.699295392005
11/2023,53608.55910775288
12/2023,55282.0073462677
01/2024,55287.92756409264
02/2024,54675.18501921192
03/2024,55053.0922570369
04/2024,54020.01424658584
05/2024,53801.952890034074
06/2024,54476.8577220766
07/2024,55599.72570287252
08/2024,55630.31349496801
09/2024,56093.077188283736
10/2024,55534.60330679825
11/2024,57289.94789189133
12/2024,56892.30659464989
01/2025,56903.16032732895
02/2025,57818.82068425214
03/2025,56062.48939618823
04/2025,55177.416831360526
05/2025,54778.788831148275
06/2025,54012.120622819246
07/2025,54310.104920007616